index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
53;3;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
54;13;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
55;13;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
56;10;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
57;8;4;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
58;2;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
59;3;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
60;3;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
61;7;4;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
62;4;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
63;11;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
64;6;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
65;11;12;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
66;1;13;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
67;3;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
68;1;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
69;14;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
70;5;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
71;9;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
72;7;5;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
73;14;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
74;8;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
75;13;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
76;9;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
77;2;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
78;1;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
79;14;13;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
80;9;11;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
81;10;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
82;2;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
83;2;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
84;4;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
85;5;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
86;11;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
87;14;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
88;7;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
89;12;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
90;12;5;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
91;9;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
92;13;14;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
93;13;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
94;5;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
95;14;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
96;8;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
97;5;9;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
98;7;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
99;7;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
100;11;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
