edge_slice_demand;k_1= (6,14,6);k_2= (8,17,6);k_3= (17,13,6);k_4= (5,10,6);k_5= (16,5,6);k_6= (9,16,6);k_7= (5,17,6);k_8= (7,1,6);k_9= (11,17,6);k_10= (13,1,6);k_11= (12,9,6);k_12= (2,3,6);k_13= (13,10,6);k_14= (9,11,6);k_15= (12,11,6);k_16= (9,13,6);k_17= (9,17,6);k_18= (17,15,6);k_19= (14,5,6);k_20= (4,16,6);k_21= (13,12,6);k_22= (17,8,6);k_23= (10,9,6);k_24= (5,12,6);k_25= (7,16,6);k_26= (2,10,6);k_27= (1,3,6);k_28= (14,16,6);k_29= (5,6,6);k_30= (1,6,6);k_31= (4,2,6);k_32= (12,16,6);k_33= (4,6,6);k_34= (2,1,6);k_35= (3,12,6);k_36= (5,8,6);k_37= (7,17,6);k_38= (10,8,6);k_39= (14,7,6);k_40= (14,17,6);k_41= (3,4,6);k_42= (7,14,6);k_43= (15,16,6);k_44= (13,17,6);k_45= (17,1,6);k_46= (13,2,6);k_47= (17,13,6);k_48= (16,6,6);k_49= (2,1,6);k_50= (15,13,6);k_51= (14,13,6);k_52= (8,15,6);k_53= (2,13,6);k_54= (11,1,6);k_55= (6,9,6);k_56= (9,6,6);k_57= (3,8,6);k_58= (11,14,6);k_59= (2,10,6);k_60= (5,6,6);
[5,11]; ; ; ; ; ;1; ; ; ; ;1; ; ;1; ; ; ; ;1; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;
[6,7];1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;
[6,9]; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ;1;
[7,8];1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;
[8,9]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ;
[8,11];1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ;1; ; ;1; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ;
[10,11]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[10,13]; ; ; ; ;1; ;1; ; ;1; ; ;1; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ;
[11,12];1; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ;1; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ;1; ;1; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;
[11,13]; ;1; ; ; ;1; ; ;1; ; ; ; ; ; ; ;1; ; ; ;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ;
[12,14];1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ;1; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;
[13,15]; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ;1; ; ;
[13,17]; ;1;1; ; ;1;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;
[14,15]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ;1; ; ;
[15,16]; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1;1; ;1; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ;1; ; ;1; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;
[16,17]; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 slice allocation ;36;30;18;19;30;6;56;6;50;6;48;6;50;54;42;18;60;48;60;12;18;66;30;30;24;6;17;6;60;14;43;66;42;38;66;42;54;12;6;18;12;12;42;12;44;36;36;36;31;6;48;24;24;48;48;30;23;42;49;66;
