edge_slice_demand;k_1= (7,11,6);k_2= (2,14,3);k_3= (6,13,6);k_4= (12,1,3);k_5= (3,7,3);k_6= (4,2,4);k_7= (10,6,6);k_8= (3,9,3);k_9= (5,2,6);k_10= (10,5,6);k_11= (5,12,6);k_12= (7,14,6);k_13= (6,11,3);k_14= (8,6,6);k_15= (2,7,6);k_16= (3,11,3);k_17= (10,8,6);k_18= (3,4,6);k_19= (5,1,6);k_20= (3,12,3);k_21= (2,6,6);k_22= (2,14,3);k_23= (7,9,6);k_24= (1,12,3);k_25= (14,9,3);k_26= (9,11,6);k_27= (11,10,6);k_28= (1,5,6);k_29= (2,13,3);k_30= (7,11,6);k_31= (4,8,6);k_32= (2,4,4);k_33= (8,13,6);k_34= (2,5,6);k_35= (8,3,3);k_36= (2,6,6);k_37= (7,6,6);k_38= (13,2,3);k_39= (13,7,6);k_40= (1,9,3);k_41= (4,1,6);k_42= (6,13,6);k_43= (10,2,3);k_44= (7,1,3);k_45= (14,1,3);k_46= (10,3,3);k_47= (12,11,4);k_48= (3,4,6);k_49= (2,10,3);k_50= (11,7,6);k_51= (14,4,3);k_52= (12,6,6);k_53= (3,13,3);k_54= (13,11,4);k_55= (13,12,3);k_56= (10,2,3);k_57= (8,4,6);k_58= (2,11,3);k_59= (3,13,3);k_60= (3,6,6);k_61= (7,4,6);k_62= (4,2,4);k_63= (11,7,6);k_64= (6,3,6);k_65= (11,12,4);k_66= (1,13,3);k_67= (3,13,3);k_68= (1,12,3);k_69= (14,6,6);k_70= (5,13,3);k_71= (9,10,4);k_72= (7,5,4);k_73= (14,2,3);k_74= (8,12,6);k_75= (13,12,3);k_76= (9,14,3);k_77= (2,7,6);k_78= (1,9,3);k_79= (14,13,3);k_80= (9,11,6);k_81= (10,1,3);k_82= (2,14,3);k_83= (2,8,3);k_84= (4,12,3);k_85= (5,13,3);k_86= (11,4,6);k_87= (14,13,3);k_88= (7,3,3);k_89= (12,8,6);k_90= (12,5,6);k_91= (9,8,4);k_92= (13,14,3);k_93= (13,1,3);k_94= (5,6,4);k_95= (14,1,3);k_96= (8,13,6);k_97= (5,9,6);k_98= (7,8,4);k_99= (7,1,3);k_100= (11,13,4);
[6,10]; ; ; ; ; ; ;1;1; ;1; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[6,13]; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1;1; ; ; ; ; ; ;1;1; ;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;
[7,8];1; ; ; ; ; ; ; ; ; ;1;1; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1;1;1; ;
[8,9];1; ; ;1; ; ; ; ; ; ;1;1; ; ; ; ;1; ; ; ; ; ;1;1; ; ; ; ; ;1; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1; ; ; ;1;1;1; ; ; ;
[9,10]; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1;1; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[9,12];1; ; ;1; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ;
[9,14]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;1; ;1; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ;1; ;1; ; ; ; ;1; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ;
[11,12];1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ;1; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;
[11,14]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[12,13]; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ;1;
[13,14]; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;1; ; ; ; ;1; ; ; ; ; ;1; ;1; ;1; ; ;1; ; ; ; ; ; ; ; ;
 slice allocation ;48;38;58;11;14;70;37;71;29;92;69;63;69;57;105;44;87;85;65;11;62;47;81;7;41;85;31;99;14;105;93;59;36;38;20;68;36;8;17;77;44;13;41;3;3;17;67;92;20;75;47;87;79;76;27;52;9;35;93;56;87;48;30;88;24;6;74;17;103;46;98;81;50;57;103;65;76;23;27;72;27;55;14;41;10;32;4;30;93;42;4;79;20;97;51;23;99;87;3;4;
