edge_slice_demand;k_1= (6,1,6);k_2= (17,8,4);k_3= (15,4,4);k_4= (9,12,3);k_5= (7,2,6);k_6= (10,8,3);k_7= (16,1,4);k_8= (15,16,3);k_9= (9,7,3);k_10= (4,10,6);k_11= (2,11,6);k_12= (13,9,6);k_13= (1,2,6);k_14= (16,13,3);k_15= (15,6,3);k_16= (12,17,6);k_17= (4,10,3);k_18= (15,14,6);k_19= (11,17,6);k_20= (6,13,3);k_21= (9,3,6);k_22= (12,9,6);k_23= (6,10,6);k_24= (4,14,6);k_25= (8,10,6);k_26= (1,8,6);k_27= (8,4,3);k_28= (1,10,4);k_29= (6,9,3);k_30= (2,17,6);k_31= (3,12,6);k_32= (4,9,3);k_33= (5,1,6);k_34= (9,7,3);k_35= (11,2,3);k_36= (13,1,3);k_37= (3,10,6);k_38= (8,7,6);k_39= (7,13,6);k_40= (7,11,6);k_41= (7,3,3);k_42= (9,6,6);k_43= (6,1,3);k_44= (8,16,3);k_45= (13,11,6);k_46= (2,10,3);k_47= (3,8,6);k_48= (10,6,6);k_49= (4,17,4);k_50= (6,9,6);k_51= (11,17,6);k_52= (1,7,6);k_53= (3,6,3);k_54= (12,5,6);k_55= (15,17,3);k_56= (9,7,6);k_57= (12,7,6);k_58= (17,6,4);k_59= (2,13,6);k_60= (10,13,6);k_61= (1,13,6);k_62= (2,12,6);k_63= (6,11,3);k_64= (15,9,3);k_65= (3,7,3);k_66= (9,8,6);k_67= (12,7,3);k_68= (10,17,3);k_69= (9,13,3);k_70= (16,17,3);
[8,11]; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ;1; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1; ; ; ;1; ; ; ;
[10,11]; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;
[10,13]; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1;1;1; ;1; ; ; ; ; ;1;1; ;
[11,12]; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ;1; ; ;1; ; ; ;
[11,13]; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ;1;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;
[12,14]; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ;
[13,15]; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;
[13,17]; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ;1; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ;
[14,15]; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ;
[15,16]; ; ; ; ; ; ;1;1; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[16,17]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;
 slice allocation ;33;70;37;21;18;44;29;41;55;12;43;48;46;3;12;22;6;6;6;66;41;30;27;69;52;6;34;4;58;64;50;54;12;70;3;25;60;31;40;9;63;12;21;55;63;3;52;67;40;6;12;46;38;9;15;45;18;22;70;6;18;54;60;57;70;24;3;58;9;3;
