LinkS;TranspS;Instance;Demands;UB;LB;GAP;Time;OF;Formulation;CD;OSNR;GNpy;Bands;Reinforcements;Cuts;Prepro;PreproTime;Variables;Constraints;v0;preproC;Paths;FeasibleC;InfeasibleC;OnlyOsnrC;OnlyReachC;FeasibleL;InfeasibleL;OnlyOsnrL;OnlyReachL;ads;dcb;llb;nlus;slus;suld;trl;tus;tase
2x;efficient;Nsfnet_14_21;80;933.000000;933.000000;0.000000;5.086000;3;0;1;1;0;1;0;0;2;28.566735;101987;158320;435613;0;0;0;0;0;0;22026;12593;2;0;80;80;0;160;3319;184;179000.000000;933;94333.333333
2x;efficient;European_18_40;60;801.000000;801.000000;0.000000;6.180000;3;0;1;1;0;1;0;0;2;30.643121;88619;121260;487381;0;0;0;0;0;0;21958;-65479;1;0;60;60;0;120;3518;137;82661.000000;801;56766.666667
2x;efficient;Nsfnet_14_21;70-b;777.000000;777.000000;0.000000;5.520000;3;0;1;1;0;1;0;0;2;20.267089;88725;121730;322875;0;0;0;0;0;0;22002;12337;2;0;70;70;0;140;2882;160;173900.000000;777;87050.000000
2x;efficient;Nsfnet_14_21;10-b;12.000000;12.000000;0.000000;0.086000;8;0;1;1;0;1;0;0;2;0.060139;1570;3000;6831;0;0;0;0;0;0;0;-1133871366;0;0;10;10;0;12;147;27;27000.000000;135;13516.666667
2x;efficient;Nsfnet_14_21;50;540.000000;540.000000;0.000000;2.002000;3;0;1;1;0;1;0;0;2;6.759067;40960;62950;169040;0;0;0;0;0;0;21993;56;1;0;50;50;0;100;1872;108;113100.000000;540;56950.000000
2x;efficient;European_18_40;40;510.000000;510.000000;0.000000;2.627000;3;0;1;1;0;1;0;0;2;8.997661;37638;55240;218362;0;0;0;0;0;0;21947;-65481;1;0;40;40;0;80;2194;87;50563.000000;510;34866.666667
2x;efficient;European_18_40;70-b;774.000000;774.000000;0.000000;7.825000;3;0;1;1;0;1;0;0;2;50.473197;109557;163870;674443;0;0;0;0;0;0;0;-1133871366;0;-1;70;70;0;140;4099;131;84601.000000;774;59283.333333
2x;efficient;European_18_40;20;252.000000;252.000000;0.000000;0.337000;3;0;1;1;0;1;0;0;2;1.051919;7595;14820;56405;0;0;0;0;0;0;22065;55;1;0;20;20;0;40;752;42;25191.000000;252;17500.000000
2x;efficient;European_18_40;50-b;657.000000;657.000000;0.000000;5.233000;3;0;1;1;0;1;0;0;2;17.951589;68512;85050;331488;0;0;0;0;0;0;21997;-65486;1;0;50;50;0;100;3139;111;71677.000000;657;47250.000000
2x;efficient;European_18_40;30-b;396.000000;396.000000;0.000000;0.826000;3;0;1;1;0;1;0;0;2;3.922802;18975;31830;125025;0;0;0;0;0;0;21845;12849;2;0;30;30;0;60;1384;66;34466.000000;396;25200.000000
2x;efficient;European_18_40;30;402.000000;402.000000;0.000000;1.091000;3;0;1;1;0;1;0;0;2;3.916190;18040;31830;125960;0;0;0;0;0;0;21976;12593;2;0;30;30;0;60;1459;67;40349.000000;402;28133.333333
2x;efficient;Nsfnet_14_21;90-b;939.000000;939.000000;0.000000;7.079000;3;0;1;1;0;1;0;0;2;43.237142;145776;199710;534624;0;0;0;0;0;0;22006;53;1;0;90;90;0;180;3718;196;217100.000000;939;109766.666667
2x;efficient;Nsfnet_14_21;100;1023.000000;1023.000000;0.000000;11.825000;3;0;1;1;0;1;0;0;2;60.106891;178449;245900;661551;0;0;0;0;0;0;21943;57;1;0;100;100;0;200;4077;215;241800.000000;1023;122333.333333
2x;efficient;European_18_40;10;102.000000;102.000000;0.000000;0.057000;3;0;1;1;0;1;0;0;2;0.130507;1125;4210;14875;0;0;0;0;0;0;21938;808333362;4;0;10;10;0;20;260;17;9511.000000;102;7166.666667
2x;efficient;European_18_40;50;624.000000;624.000000;0.000000;3.870000;3;0;1;1;0;1;0;0;2;18.133053;55693;85050;344307;0;0;0;0;0;0;21917;-16763855;2;0;50;50;0;100;3070;106;69242.000000;624;44483.333333
2x;efficient;European_18_40;10-b;6.000000;6.000000;0.000000;0.055000;8;0;1;1;0;1;0;0;2;0.162732;2209;4220;13792;0;0;0;0;0;0;0;1629172416;0;0;10;10;0;6;117;22;12560.000000;117;9083.333333
2x;efficient;European_18_40;70;972.000000;972.000000;0.000000;7.478000;3;0;1;1;0;1;0;0;2;53.153780;113343;163870;670657;0;0;0;0;0;0;0;-1133871366;0;-1;70;70;0;140;5149;164;104358.000000;972;66966.666667
2x;efficient;Nsfnet_14_21;40-b;459.000000;459.000000;0.000000;1.179000;3;0;1;1;0;1;0;0;2;3.567452;25881;40760;108519;0;0;0;0;0;0;21987;56;1;0;40;40;0;80;1407;93;94300.000000;459;48266.666667
2x;efficient;European_18_40;90;1110.000000;1110.000000;0.000000;12.065000;3;0;1;1;0;1;0;0;2;102.255590;166950;268290;1129050;0;0;0;0;0;0;21985;53;1;0;90;90;0;180;6434;185;115177.000000;1110;79316.666667
2x;efficient;European_18_40;40-b;522.000000;522.000000;0.000000;2.457000;3;0;1;1;0;1;0;0;2;9.767358;42300;55240;213700;0;0;0;0;0;0;21858;-16762831;2;0;40;40;0;80;2167;87;53865.000000;522;35750.000000
2x;efficient;Nsfnet_14_21;40;357.000000;357.000000;0.000000;1.306000;3;0;1;1;0;1;0;0;2;4.323186;36189;40760;98211;0;0;0;0;0;0;21979;12337;2;0;40;40;0;80;1419;85;109500.000000;357;53066.666667
2x;efficient;European_18_40;90-b;1155.000000;1155.000000;0.000000;14.994000;3;0;1;1;0;1;0;0;2;112.745456;228197;268290;1067803;0;0;0;0;0;0;21902;57;1;0;90;90;0;180;5838;201;123066.000000;1155;84383.333333
2x;efficient;Nsfnet_14_21;50-b;42.000000;42.000000;0.000000;83.277000;8;0;1;1;0;1;0;0;2;7.288087;45744;63000;164257;0;0;0;0;0;0;21861;52;1;0;50;50;0;42;783;113;121200.000000;516;62183.333333
2x;efficient;European_18_40;100-b;1368.000000;1368.000000;0.000000;15.397000;3;0;1;1;0;1;0;0;2;146.794545;226992;330100;1373008;0;0;0;0;0;0;21930;13105;2;0;100;100;0;200;6745;230;134833.000000;1368;95100.000000
2x;efficient;Nsfnet_14_21;10;96.000000;96.000000;0.000000;0.082000;3;0;1;1;0;1;0;0;2;0.059976;1485;2990;6915;0;0;0;0;0;0;0;-1133871366;0;0;10;10;0;20;230;20;25200.000000;96;12383.333333
2x;efficient;Nsfnet_14_21;20-b;225.000000;225.000000;0.000000;0.329000;3;0;1;1;0;1;0;0;2;0.465431;6319;10780;27281;0;0;0;0;0;0;0;-1133871366;0;808333371;20;20;0;40;621;46;45500.000000;225;24183.333333
2x;efficient;Nsfnet_14_21;20;222.000000;222.000000;0.000000;0.289000;3;0;1;1;0;1;0;0;2;0.545320;8923;10780;24677;0;0;0;0;0;0;0;-1133871366;0;809186615;20;20;0;40;660;49;55600.000000;222;26883.333333
2x;efficient;Nsfnet_14_21;40-b;60.000000;60.000000;0.000000;24.480000;8;0;1;1;0;1;0;0;2;3.553741;25882;40800;108519;0;0;0;0;0;0;21884;56;1;0;40;40;0;60;861;98;100000.000000;474;50833.333333
2x;efficient;Nsfnet_14_21;10-b;132.000000;132.000000;0.000000;0.052000;3;0;1;1;0;1;0;0;2;0.060064;1569;2990;6831;0;0;0;0;0;0;0;-1133871366;0;0;10;10;0;20;251;26;26300.000000;132;13183.333333
2x;efficient;European_18_40;80;1047.000000;1047.000000;0.000000;21.137000;3;0;1;1;0;1;0;0;2;80.497344;172981;212880;851019;0;0;0;0;0;0;21857;50;1;0;80;80;0;160;4839;179;112052.000000;1047;75516.666667
2x;efficient;Nsfnet_14_21;30-b;333.000000;333.000000;0.000000;1.061000;3;0;1;1;0;1;0;0;2;1.664994;15642;23370;59958;0;0;0;0;0;0;21929;-65480;1;0;30;30;0;60;1068;68;69500.000000;333;35633.333333
2x;efficient;European_18_40;100;1251.000000;1251.000000;0.000000;24.939000;3;0;1;1;0;1;0;0;2;157.309702;326886;330100;1273114;0;0;0;0;0;0;22056;55;1;0;100;100;0;200;6453;218;145922.000000;1251;93816.666667
2x;efficient;Nsfnet_14_21;40;30.000000;30.000000;0.000000;85.753000;8;0;1;1;0;1;0;0;2;4.460314;36190;40800;98211;0;0;0;0;0;0;22067;12337;2;0;40;40;0;30;510;90;114400.000000;372;55333.333333
2x;efficient;Nsfnet_14_21;10;12.000000;12.000000;0.000000;0.146000;8;0;1;1;0;1;0;0;2;0.063952;1486;3000;6915;0;0;0;0;0;0;0;-1133871366;0;0;10;10;0;12;117;20;25200.000000;96;12383.333333
2x;efficient;European_18_40;80-b;1065.000000;1065.000000;0.000000;14.872000;3;0;1;1;0;1;0;0;2;81.046322;198459;212880;825541;0;0;0;0;0;0;21874;50;1;0;80;80;0;160;4994;185;120305.000000;1065;77133.333333
2x;efficient;Nsfnet_14_21;90;924.000000;924.000000;0.000000;10.995000;3;0;1;1;0;1;0;0;2;44.973319;156015;199710;524385;0;0;0;0;0;0;21948;53;1;0;90;90;0;180;3386;199;228900.000000;924;113150.000000
2x;efficient;Nsfnet_14_21;50;54.000000;54.000000;0.000000;261.858000;8;0;1;1;0;1;0;0;2;7.244542;40961;63000;169040;0;0;0;0;0;0;21867;56;1;0;50;50;0;54;972;115;120600.000000;567;60350.000000
2x;efficient;European_18_40;30-b;30.000000;30.000000;0.000000;4.277000;8;0;1;1;0;1;0;0;2;4.026009;18976;31860;125025;0;0;0;0;0;0;22045;12849;2;0;30;30;0;30;596;74;35898.000000;444;26866.666667
2x;efficient;European_18_40;30;24.000000;24.000000;0.000000;4.642000;8;0;1;1;0;1;0;0;2;3.897916;18041;31860;125960;0;0;0;0;0;0;21973;12593;2;0;30;30;0;24;563;70;41710.000000;420;29116.666667
2x;efficient;European_18_40;40-b;24.000000;24.000000;0.000000;179.452000;8;0;1;1;0;1;0;0;2;10.168929;42301;55280;213700;0;0;0;0;0;0;21981;-16762831;2;0;40;40;0;24;712;98;56909.000000;588;38433.333333
2x;efficient;Nsfnet_14_21;100-b;1059.000000;1059.000000;0.000000;12.576000;3;0;1;1;0;1;0;0;2;60.016670;192282;245900;647718;0;0;0;0;0;0;22068;54;1;0;100;100;0;200;3981;226;254100.000000;1059;125133.333333
2x;efficient;European_18_40;60-b;759.000000;759.000000;0.000000;5.486000;3;0;1;1;0;1;0;0;2;32.464142;96637;121260;479363;0;0;0;0;0;0;22037;-16763855;2;0;60;60;0;120;3994;131;81854.000000;759;55116.666667
2x;efficient;Nsfnet_14_21;60-b;54.000000;54.000000;0.000000;1043.592000;8;0;1;1;0;1;0;0;2;13.669700;71285;90000;231116;0;0;0;0;0;0;22073;13361;2;0;60;60;0;54;1001;139;157100.000000;657;76550.000000
2x;efficient;European_18_40;10-b;96.000000;96.000000;0.000000;0.095000;3;0;1;1;0;1;0;0;2;0.145307;2208;4210;13792;0;0;0;0;0;0;0;1676657344;0;0;10;10;0;20;250;17;9902.000000;96;7500.000000
2x;efficient;European_18_40;20-b;18.000000;18.000000;0.000000;1.249000;8;0;1;1;0;1;0;0;2;1.098634;7036;14840;56965;0;0;0;0;0;0;21865;12337;2;0;20;20;0;18;311;44;23695.000000;264;18150.000000
2x;efficient;European_18_40;10;12.000000;12.000000;0.000000;0.077000;8;0;1;1;0;1;0;0;2;0.122103;1126;4220;14875;0;0;0;0;0;0;22038;808333362;4;0;10;10;0;12;132;22;10798.000000;132;8416.666667
2x;efficient;Nsfnet_14_21;70-b;96.000000;96.000000;0.000000;1351.639000;8;0;1;1;0;1;0;0;2;20.362534;88726;121800;322875;0;0;0;0;0;0;22083;12337;2;0;70;70;0;96;1569;170;178900.000000;810;89483.333333
2x;efficient;Nsfnet_14_21;60;102.000000;102.000000;0.000000;1525.315000;8;0;1;1;0;1;0;0;2;13.315989;69174;90000;233227;0;0;0;0;0;0;21933;13105;2;0;60;60;0;102;1750;156;159700.000000;756;77800.000000
2x;efficient;Nsfnet_14_21;30;30.000000;30.000000;0.000000;2.119000;8;0;1;1;0;1;0;0;2;1.416025;11375;23400;64226;0;0;0;0;0;0;21906;-16764879;2;0;30;30;0;30;531;61;62400.000000;309;33433.333333
2x;efficient;European_18_40;50-b;30.000000;30.000000;0.000000;2070.355000;8;0;1;1;0;1;0;0;2;18.851752;68513;85100;331488;0;0;0;0;0;0;21888;-65486;1;0;50;50;0;30;1002;134;76106.000000;795;51450.000000
2x;efficient;Nsfnet_14_21;70;66.000000;66.000000;0.000000;2450.398000;8;0;1;1;0;1;0;0;2;19.334163;76798;121800;334803;0;0;0;0;0;0;22014;12849;2;0;70;70;0;66;1132;153;163000.000000;762;82866.666667
2x;efficient;Nsfnet_14_21;80;108.000000;108.000000;0.000000;2527.618000;8;0;1;1;0;1;0;0;2;28.454701;101988;158400;435613;0;0;0;0;0;0;22019;12593;2;0;80;80;0;108;1930;194;186400.000000;966;97833.333333
2x;random;Nsfnet_14_21;50-b;395.000000;395.000000;0.000000;1.946000;3;0;1;1;0;1;0;0;2;7.530565;48062;62950;161938;0;0;0;0;0;0;21999;52;1;0;50;50;0;100;1982;104;115100.000000;395;55766.666667
2x;efficient;German_17_26;10;168.000000;168.000000;0.000000;0.105000;3;0;1;1;0;1;0;0;2;0.112489;1635;3720;8765;0;0;0;0;0;0;993016624;925904944;808729392;774912816;10;10;0;20;285;28;5460.000000;168;6466.666667
2x;maxData200;European_18_40;100;1096.000000;1096.000000;0.000000;41.860000;3;0;1;1;0;1;0;0;2;133.545709;452610;330100;1147390;0;0;0;0;0;0;21915;55;1;0;100;100;0;200;6290;218;146826.000000;1096;81783.333333
2x;random;Nsfnet_14_21;70;587.000000;587.000000;0.000000;4.509000;3;0;1;1;0;1;0;0;2;20.903807;93674;121730;317926;0;0;0;0;0;0;21907;12849;2;0;70;70;0;140;2834;145;164800.000000;587;78450.000000
2x;random;German_17_26;100-b;1261.000000;1261.000000;0.000000;102.537000;3;0;1;1;0;1;0;0;2;151.827846;566726;307200;473274;0;0;0;0;0;0;21924;12593;2;0;100;100;0;200;4627;279;50808.000000;1261;49383.333333
2x;efficient;Nsfnet_14_21;80-b;84.000000;84.000000;0.000000;6847.484000;8;0;1;1;0;1;0;0;2;30.107783;114673;158400;422928;0;0;0;0;0;0;21851;52;1;0;80;80;0;84;1460;191;193100.000000;912;101716.666667
2x;efficient;European_18_40;40;27.000000;27.000000;0.000000;7312.015000;8;0;1;1;0;1;0;0;2;9.522899;37639;55280;218362;0;0;0;0;0;0;21930;-65481;1;0;40;40;0;27;724;94;51129.000000;546;35950.000000
2x;efficient;European_18_40;60;48.000000;48.000000;0.000000;9698.068000;8;0;1;1;0;1;0;0;2;33.061417;88620;121320;487381;0;0;0;0;0;0;22073;-65479;1;0;60;60;0;48;1325;158;85659.000000;927;60400.000000
2x;efficient;European_18_40;60-b;36.000000;36.000000;0.000000;12469.928000;8;0;1;1;0;1;0;0;2;34.625650;96638;121320;479363;0;0;0;0;0;0;22060;-16763855;2;0;60;60;0;36;1124;144;83844.000000;834;57016.666667
2x;efficient;European_18_40;50;30.000000;18.000000;40.000000;14401.925000;8;0;1;1;0;1;0;0;2;18.006842;55694;85100;344307;0;0;0;0;0;0;22043;-16763855;2;0;50;50;0;30;882;115;70590.000000;678;45816.666667
2x;efficient;Nsfnet_14_21;90-b;84.000000;44.381517;47.164860;14400.103000;8;0;1;1;0;1;0;0;2;43.457182;145777;199800;534624;0;0;0;0;0;0;21880;53;1;0;90;90;0;84;1618;208;225700.000000;978;113866.666667
2x;random;European_18_40;50;477.000000;477.000000;0.000000;7.226000;3;0;1;1;0;1;0;0;2;20.836291;82366;85050;317634;0;0;0;0;0;0;22049;-16763855;2;0;50;50;0;100;3378;108;68523.000000;477;39116.666667
2x;efficient;Nsfnet_14_21;100;96.000000;51.339230;46.521635;14400.148000;8;0;1;1;0;1;0;0;2;59.613101;178450;246000;661551;0;0;0;0;0;0;21896;57;1;0;100;100;0;96;1844;227;247600.000000;1065;125300.000000
2x;efficient;European_18_40;70-b;36.000000;30.000000;16.666667;14400.076000;8;0;1;1;0;1;0;0;2;50.588023;109558;163940;674443;0;0;0;0;0;0;0;-1133871366;0;-1;70;70;0;36;1057;144;86679.000000;843;61516.666667
2x;efficient;Nsfnet_14_21;100-b;96.000000;51.222113;46.643633;14400.202000;8;0;1;1;0;1;0;0;2;63.624820;192283;246000;647718;0;0;0;0;0;0;21934;54;1;0;100;100;0;96;1907;247;268200.000000;1134;131933.333333
2x;efficient;European_18_40;90-b;55.000000;27.473684;50.047847;14400.328000;8;0;1;1;0;1;0;0;2;116.860595;228198;268380;1067803;0;0;0;0;0;0;21949;57;1;0;90;90;0;55;1958;232;136750.000000;1329;94000.000000
2x;efficient;German_17_26;60-b;918.000000;918.000000;0.000000;3.670000;3;0;1;1;0;1;0;0;2;24.337890;63825;112320;310575;0;0;0;0;0;0;21857;49;1;0;60;60;0;120;2904;153;26833.000000;918;33783.333333
2x;efficient;European_18_40;90;42.000000;36.000000;14.285714;14400.124000;8;0;1;1;0;1;0;0;2;99.983629;166951;268380;1129050;0;0;0;0;0;0;22009;53;1;0;90;90;0;42;1417;199;117005.000000;1194;81183.333333
2x;efficient;German_17_26;100-b;1680.000000;1680.000000;0.000000;80.145000;3;0;1;1;0;1;0;0;2;127.551268;235755;307200;804245;0;0;0;0;0;0;22053;12593;2;0;100;100;0;200;4896;280;51389.000000;1680;61950.000000
2x;efficient;European_18_40;100-b;81.000000;39.200000;51.604938;14400.183000;8;0;1;1;0;1;0;0;2;144.053191;226993;330200;1373008;0;0;0;0;0;0;21921;13105;2;0;100;100;0;81;2593;258;143628.000000;1536;101833.333333
2x;efficient;European_18_40;70;54.000000;28.890167;46.499691;14400.118000;8;0;1;1;0;1;0;0;2;51.928826;113344;163940;670657;0;0;0;0;0;0;0;-1133871366;0;-1;70;70;0;54;1816;185;109394.000000;1098;71233.333333
2x;efficient;German_17_26;30-b;504.000000;504.000000;0.000000;1.734000;3;0;1;1;0;1;0;0;2;3.358689;19910;29160;73690;0;0;0;0;0;0;21877;13873;2;0;30;30;0;60;1198;84;15584.000000;504;18283.333333
2x;efficient;European_18_40;80-b;55.000000;23.470588;57.326203;14400.286000;8;0;1;1;0;1;0;0;2;81.086155;198460;212960;825541;0;0;0;0;0;0;21995;50;1;0;80;80;0;55;1576;205;121470.000000;1185;79683.333333
2x;efficient;European_18_40;80;48.000000;24.398811;49.169144;14400.140000;8;0;1;1;0;1;0;0;2;77.234149;172982;212960;851019;0;0;0;0;0;0;22098;50;1;0;80;80;0;48;1465;199;118912.000000;1164;80233.333333
2x;random;German_17_26;70;806.000000;806.000000;0.000000;25.219000;3;0;1;1;0;1;0;0;2;53.670088;262360;152040;247240;0;0;0;0;0;0;21852;53;1;0;70;70;0;140;3451;196;33420.000000;806;32950.000000
2x;random;Nsfnet_14_21;10-b;9.000000;9.000000;0.000000;0.193000;8;0;1;1;0;1;0;0;2;0.076819;2242;3000;6159;0;0;0;0;0;0;0;-1133871366;0;0;10;10;0;9;114;28;26900.000000;102;12733.333333
2x;maxData200;European_18_40;30-b;331.000000;331.000000;0.000000;3.451000;3;0;1;1;0;1;0;0;2;3.815825;35983;31830;108017;0;0;0;0;0;0;21908;12849;2;0;30;30;0;60;1445;66;35536.000000;331;21733.333333
2x;random;Nsfnet_14_21;100;842.000000;842.000000;0.000000;11.882000;3;0;1;1;0;1;0;0;2;59.970956;194254;245900;645746;0;0;0;0;0;0;21944;57;1;0;100;100;0;200;4162;214;241100.000000;842;115083.333333
2x;random;Nsfnet_14_21;50-b;33.000000;33.000000;0.000000;427.232000;8;0;1;1;0;1;0;0;2;7.771677;48063;63000;161938;0;0;0;0;0;0;21963;52;1;0;50;50;0;33;642;119;125200.000000;446;60700.000000
2x;random;German_17_26;10-b;13.000000;13.000000;0.000000;3.942000;8;0;1;1;0;1;0;0;2;0.160293;3845;3730;6556;0;0;0;0;0;0;859517243;993082165;808465467;825962544;10;10;0;13;256;43;7060.000000;218;7166.666667
2x;efficient;Nsfnet_14_21;90;84.000000;54.000000;35.714286;14400.098000;8;0;1;1;0;1;0;0;2;43.967989;156016;199800;524385;0;0;0;0;0;0;22042;53;1;0;90;90;0;84;1580;225;251500.000000;1005;123616.666667
2x;maxData200;European_18_40;90;939.000000;939.000000;0.000000;25.750000;3;0;1;1;0;1;0;0;2;105.197864;253099;268290;1042901;0;0;0;0;0;0;22065;53;1;0;90;90;0;180;5490;186;115999.000000;939;68600.000000
2x;random;European_18_40;30;21.000000;21.000000;0.000000;509.070000;8;0;1;1;0;1;0;0;2;4.418255;29609;31860;114392;0;0;0;0;0;0;21862;12593;2;0;30;30;0;21;492;80;42746.000000;393;27250.000000
2x;random;Nsfnet_14_21;20;15.000000;15.000000;0.000000;2.119000;8;0;1;1;0;1;0;0;2;0.561898;9319;10800;24282;0;0;0;0;0;0;0;-1133871366;0;993013809;20;20;0;15;253;52;57700.000000;211;26766.666667
2x;efficient;European_18_40;100;67.000000;25.441081;62.028237;14400.197000;8;0;1;1;0;1;0;0;2;157.472446;326887;330200;1273114;0;0;0;0;0;0;22078;55;1;0;100;100;0;67;2018;248;149423.000000;1422;98466.666667
2x;efficient;German_17_26;100;108.000000;54.044701;49.958610;14400.106000;8;0;1;1;0;1;0;0;2;110.924070;149761;307300;890240;0;0;0;0;0;0;21980;56;1;0;100;100;0;108;2603;274;47433.000000;1644;61433.333333
2x;maxData200;European_18_40;30;24.000000;24.000000;0.000000;1165.045000;8;0;1;1;0;1;0;0;2;4.650026;33771;31860;110230;0;0;0;0;0;0;22056;12593;2;0;30;30;0;24;622;77;42443.000000;408;24833.333333
2x;random;German_17_26;10;10.000000;10.000000;0.000000;1.485000;8;0;1;1;0;1;0;0;2;0.164082;4395;3730;6006;0;0;0;0;0;0;809187131;809185328;809185339;876294203;10;10;0;10;202;34;6049.000000;163;6433.333333
2x;random;European_18_40;20-b;12.000000;12.000000;0.000000;2.987000;8;0;1;1;0;1;0;0;2;1.432926;14922;14840;49079;0;0;0;0;0;0;21900;12337;2;0;20;20;0;12;264;55;27070.000000;222;15516.666667
2x;random;European_18_40;100;971.000000;971.000000;0.000000;25.798000;3;0;1;1;0;1;0;0;2;166.536433;411223;330100;1188777;0;0;0;0;0;0;21936;55;1;0;100;100;0;200;7351;221;144321.000000;971;81166.666667
2x;random;German_17_26;20;267.000000;267.000000;0.000000;0.719000;3;0;1;1;0;1;0;0;2;1.042637;13091;13440;28509;0;0;0;0;0;0;21909;54;1;0;20;20;0;40;823;53;9547.000000;267;10633.333333
2x;efficient;German_17_26;70-b;72.000000;72.000000;0.000000;9541.528000;8;0;1;1;0;1;0;0;2;41.202671;80731;152110;428870;0;0;0;0;0;0;22068;13873;2;0;70;70;0;72;1687;194;32827.000000;1164;42883.333333
2x;random;Nsfnet_14_21;30-b;31.000000;31.000000;0.000000;11.003000;8;0;1;1;0;1;0;0;2;1.788126;18274;23400;57327;0;0;0;0;0;0;21933;-65480;1;0;30;30;0;31;456;69;72400.000000;250;35366.666667
2x;random;Nsfnet_14_21;40-b;43.000000;43.000000;0.000000;13.627000;8;0;1;1;0;1;0;0;2;3.967283;28995;40800;105406;0;0;0;0;0;0;21994;56;1;0;40;40;0;43;629;98;100000.000000;403;48400.000000
2x;random;German_17_26;60;655.000000;655.000000;0.000000;16.613000;3;0;1;1;0;1;0;0;2;31.392348;177812;112320;196588;0;0;0;0;0;0;22026;805319729;2;0;60;60;0;120;2710;157;26307.000000;655;27133.333333
2x;random;German_17_26;100;1150.000000;1150.000000;0.000000;94.395000;3;0;1;1;0;1;0;0;2;147.633430;498716;307200;541284;0;0;0;0;0;0;22016;56;1;0;100;100;0;200;4858;256;46351.000000;1150;46916.666667
2x;random;Nsfnet_14_21;40;30.000000;30.000000;0.000000;41.760000;8;0;1;1;0;1;0;0;2;4.549524;37306;40800;97095;0;0;0;0;0;0;21924;805318705;2;0;40;40;0;30;475;91;109700.000000;348;52350.000000
2x;efficient;German_17_26;80-b;90.000000;47.162791;47.596899;14400.141000;8;0;1;1;0;1;0;0;2;61.812991;138571;197840;527030;0;0;0;0;0;0;21888;12593;2;0;80;80;0;90;2210;255;44697.000000;1530;54600.000000
2x;random;German_17_26;90;-1.000000;30.585799;0.000000;14400.281000;8;0;1;1;0;1;0;0;2;101.634532;394139;249570;448262;0;0;0;0;0;0;21985;13873;2;0;0;0;0;923161808;21985;1;0.000000;0;0.000000
2x;random;European_18_40;90;849.000000;849.000000;0.000000;19.224000;3;0;1;1;0;1;0;0;2;112.910597;279466;268290;1016534;0;0;0;0;0;0;21869;53;1;0;90;90;0;180;6360;185;118439.000000;849;71433.333333
